STATE,zipcode,A18425
AL,35188,0.0
AL,35188,71.0
AL,35188,0.0
AL,35188,0.0
AL,35188,267.0
AL,35188,0.0
AL,35203,0.0
AL,35203,0.0
AL,35203,179.0
AL,35203,0.0
AL,35203,474.0
AL,35203,4997.0
AL,35204,0.0
AL,35204,61.0
AL,35204,130.0
AL,35204,0.0
AL,35204,173.0
AL,35204,0.0
AL,35205,37.0
AL,35205,123.0
AL,35205,210.0
AL,35205,291.0
AL,35205,908.0
AL,35205,4791.0
AL,35206,0.0
AL,35206,171.0
AL,35206,191.0
AL,35206,197.0
AL,35206,341.0
AL,35206,0.0
AL,35207,0.0
AL,35207,53.0
AL,35207,77.0
AL,35207,143.0
AL,35207,0.0
AL,35207,0.0
AL,35208,0.0
AL,35208,154.0
AL,35208,186.0
AL,35208,92.0
AL,35208,129.0
AL,35208,0.0
AL,35209,24.0
AL,35209,208.0
AL,35209,611.0
AL,35209,646.0
AL,35209,4181.0
AL,35209,26594.0
AL,35210,0.0
AL,35210,132.0
AL,35210,363.0
AL,35210,399.0
AL,35210,1128.0
AL,35210,1988.0
AL,35211,19.0
AL,35211,202.0
AL,35211,329.0
AL,35211,263.0
AL,35211,490.0
AL,35211,308.0
AL,35212,0.0
AL,35212,88.0
AL,35212,107.0
AL,35212,196.0
AL,35212,457.0
AL,35212,381.0
AL,35213,128.0
AL,35213,138.0
AL,35213,361.0
AL,35213,535.0
AL,35213,3388.0
AL,35213,39781.0
AL,35214,20.0
AL,35214,261.0
AL,35214,407.0
AL,35214,396.0
AL,35214,790.0
AL,35214,0.0
AL,35215,53.0
AL,35215,600.0
AL,35215,936.0
AL,35215,682.0
AL,35215,1145.0
AL,35215,300.0
AL,35216,55.0
AL,35216,239.0
AL,35216,528.0
AL,35216,763.0
AL,35216,4893.0
AL,35216,19742.0
AL,35217,0.0
AL,35217,103.0
AL,35217,107.0
AL,35217,117.0
AL,35217,452.0
AL,35217,0.0
AL,35218,0.0
AL,35218,44.0
AL,35218,71.0
AL,35218,97.0
AL,35218,0.0
AL,35218,0.0
AL,35221,0.0
AL,35221,51.0
AL,35221,115.0
AL,35221,0.0
AL,35221,0.0
AL,35221,0.0
AL,35222,0.0
AL,35222,79.0
AL,35222,198.0
AL,35222,307.0
AL,35222,1223.0
AL,35222,5855.0
AL,35223,0.0
AL,35223,171.0
AL,35223,179.0
AL,35223,377.0
AL,35223,3210.0
AL,35223,59412.0
AL,35224,29.0
AL,35224,0.0
AL,35224,146.0
AL,35224,0.0
AL,35224,0.0
AL,35224,0.0
AL,35226,31.0
AL,35226,317.0
AL,35226,777.0
AL,35226,1074.0
AL,35226,7921.0
AL,35226,16724.0
AL,35228,0.0
AL,35228,164.0
AL,35228,137.0
AL,35228,112.0
AL,35228,103.0
AL,35228,0.0
AL,35233,0.0
AL,35233,0.0
AL,35233,0.0
AL,35233,0.0
AL,35233,252.0
AL,35233,740.0
AL,35234,0.0
AL,35234,0.0
AL,35234,119.0
AL,35234,0.0
AL,35234,0.0
